Lf.-Nr.               , Reg.-Pos.             , ab                    , bis                   , Produktbezeichnung           , Hersteller                                                                          , Land    , Typ    , n     , Bemerkungen
045                   , 11.2                  , 2013                  , dato                  , Pittini BST500WR Jumbo HD    , Ferriere Nord S.p.A.                                                                , I       , WR / TR, 0     , "Ø8-10: WR, Rest: TR. Ø8-16:  4 Rippen o. Zw.-Rippen; Ø18-20: 2 Rippen m. Zw.-Rippen (Stand 2014)"
046                   , 12.1                  , 1982                  , 1990                  , Tempcore  (Cockerill)        , Cockerill-Sambre SA                                                                 , B       , T      , 59    , 1991 Ersatz Tempcore durch  THYGRIP
047                   , 12.1                  , 1991                  , 1998                  , THYGRIP                      , THY-Marcinelle SA                                                                   , B       , T      , 16    , 1991 Ersatz Tempcore durch  THYGRIP
048                   , 12.2                  , 1988                  , 1990                  , Cockerill                    , Cockerill-Sambre SA                                                                 , B       , NH     , 10    , 1991 Ersatz Cockerill durch  THY-Ring N
049                   , 12.2                  , 1991                  , 1998                  , THY-Ring N                   , THY-Marcinelle SA                                                                   , B       , WR     , 21    , 
050                   , 12.3                  , 1988                  , 1990                  , Cockerill-Ring               , Cockerill-Sambre SA                                                                 , B       , WR / TR, 84    , 1991 Ersatz Cockerill-Ring  durch THY-Ring T
051                   , 12.3                  , 1991                  , 1994                  , THY-Ring T                   , THY-Marcinelle SA                                                                   , B       , TR     , 8     , 
052                   , 13.1                  , 1982                  , 1992                  , Tempcore (BSW)               , Badische Stahlwerke AG                                                              , D       , T      , 0     , 1993 Wechsel  Produktbezeichnung: Tempcore zu BSW Tempcore
053                   , 13.1                  , 1993                  , dato                  , BSW Tempcore                 , Badische Stahlwerke AG                                                              , D       , T      , 296   , 1993 Wechsel  Produktbezeichnung: Tempcore zu BSW Tempcore
054                   , 13.2                  , 1988                  , 2004                  , BIRI-S                       , Badische Stahlwerke AG /  Badische Stahlwerke GmbH                                  , D       , KR / WR, 133   , 
055                   , 13.3                  , 1987                  , 1992                  , BSW-Ring                     , Badische Stahlwerke AG                                                              , D       , WR     , 268   , 
056                   , 13.4                  , 1991                  , 2012                  , BSW-Super-Ring               , Badische Stahlwerke AG                                                              , D       , WR     , 129   , 2013 Wechsel  Produktbezeichnung und Walzkennzeichen
057                   , 13.4                  , 2013                  , dato                  , BSW-Superring TWR            , Badische Stahlwerke GmbH                                                            , D       , WR     , 0     , 2013 Wechsel  Produktbezeichnung und Walzkennzeichen
058                   , 13.5                  , 2004                  , 2004                  , BAWARI                       , Badische Stahlwerke GmbH                                                            , D       , WR     , 0     , 
059                   , 13.6                  , 2005                  , dato                  , BSW-Seismic 500              , Badische Stahlwerke GmbH                                                            , D       , T      , 0     , 
060                   , 13.7                  , 2007                  , dato                  , BSW-Seismic-Ring 500         , Badische Stahlwerke GmbH                                                            , D       , WR     , 0     , 
061                   , -                     , 1983                  , 1984                  , Trafil  Lario                , Trafil  Lario S.p.A.                                                                , I       , KR     , 0     , 
062                   , 14.1                  , 1988                  , dato                  , BADEX                        , Badische Drahtwerke GmbH                                                            , D       , KR     , 286   , 
063                   , 15.1                  , 1988                  , 1991                  , Magnetti                     , Fornaci Magnetti S.p.A.                                                             , I       , KR     , 0     , 
064                   , 16.1                  , 1983                  , 1989                  , Swiss Gewi                   , AZMA AG                                                                             , E       , NH     , 51    , 
065                   , 17.1                  , 1988                  , dato                  , Swiss Gewi 500 S             , ARBED (Schifflange) / ARES  Rodange / ArcelorMittal Rodange                         , L       , T      , 126   , 
066                   , 17.2                  , 1995                  , 2009                  , Swiss Gewi 500 S  (Annahütte), Annahütte Max Aicher GmbH                                                           , D       , T      , 0     , 2010 - 2013: diverse  Wechsel der Produktbezeichnung
067                   , 17.2                  , 2010                  , 2010                  , Gewindestahl                 , Annahütte Max Aicher GmbH                                                           , D       , T      , 0     , 2010 - 2013: diverse  Wechsel der Produktbezeichnung
068                   , 17.2                  , 2011                  , 2012                  , SAS 500                      , Annahütte Max Aicher GmbH                                                           , D       , T      , 0     , 2010 - 2013: diverse  Wechsel der Produktbezeichnung
069                   , 17.2                  , 2013                  , dato                  , VAS 500                      , Annahütte Max Aicher GmbH                                                           , D       , T      , 0     , 2010 - 2013: diverse  Wechsel der Produktbezeichnung
070                   , 18.1                  , 1984                  , 1988                  , Tempcore  (Maximilianshütte) , Maximilianshütte GmbH                                                               , D       , T      , 104   , 
071                   , 18.2                  , 1988                  , 1988                  , Tempcore-Ring                , Maximilianshütte GmbH                                                               , D       , WR     , 52    , 
072                   , 19.1                  , 1988                  , 1991                  , SUPER NERSAM                 , Société des acieries de  Monterau / SAM Monterau                                    , F       , WR     , 0     , 
073                   , 19.2                  , 1988                  , 1993                  , SUPER NERSAM SNP             , Société des acieries de  Monterau / SAM Monterau                                    , F       , WR     , 3     , 
074                   , 19.3                  , 1988                  , 1991                  , SUPER NERSAM STR             , Société des acieries de  Monterau / SAM Monterau                                    , F       , TR     , 2     , 1992 Ersatz durch Nersam  500 S
075                   , 19.3                  , 1992                  , dato                  , Nersam 500 S (Montereau)     , Unimetal Montereau SNC /  SAM Monterau                                              , F       , TR     , 0     , 
076                   , 19.4                  , 1992                  , 1998                  , Nersam 500 S (Gandrange)     , Unimetal Gandrange                                                                  , F       , TR     , 0     , 
077                   , 19.5                  , 1993                  , 2002                  , Nersam 500 S (N-Maisons)     , SAM Neuves-Maisons                                                                  , F       , TR     , 0     , 
078                   , 19.6                  , 1996                  , dato                  , Super Nersam 500 S           , SAM Neuves-Maisons                                                                  , F       , WR     , 0     , 
079                   , 20.1                  , 1988                  , 1991                  , HSD 500                      , VEB Stahl-  u. Walzwerk Wilhelm Florin / Henningsdorfer Stahl                       , D       , T      , 47    , 
